C:\Users\Dell\Desktop\Data\IMG\center_2024_06_21_02_49_55_963.jpg, C:\Users\Dell\Desktop\Data\IMG\left_2024_06_21_02_49_55_963.jpg, C:\Users\Dell\Desktop\Data\IMG\right_2024_06_21_02_49_55_963.jpg, 0, 0, 0, 7.799132E-05
C:\Users\Dell\Desktop\Data\IMG\center_2024_06_21_02_49_56_067.jpg, C:\Users\Dell\Desktop\Data\IMG\left_2024_06_21_02_49_56_067.jpg, C:\Users\Dell\Desktop\Data\IMG\right_2024_06_21_02_49_56_067.jpg, 0, 0, 0, 7.797694E-05
C:\Users\Dell\Desktop\Data\IMG\center_2024_06_21_02_49_56_172.jpg, C:\Users\Dell\Desktop\Data\IMG\left_2024_06_21_02_49_56_172.jpg, C:\Users\Dell\Desktop\Data\IMG\right_2024_06_21_02_49_56_172.jpg, 0, 0, 0, 7.821141E-05
C:\Users\Dell\Desktop\Data\IMG\center_2024_06_21_02_49_56_274.jpg, C:\Users\Dell\Desktop\Data\IMG\left_2024_06_21_02_49_56_274.jpg, C:\Users\Dell\Desktop\Data\IMG\right_2024_06_21_02_49_56_274.jpg, 0, 0, 0, 8.016388E-05
C:\Users\Dell\Desktop\Data\IMG\center_2024_06_21_02_49_56_375.jpg, C:\Users\Dell\Desktop\Data\IMG\left_2024_06_21_02_49_56_375.jpg, C:\Users\Dell\Desktop\Data\IMG\right_2024_06_21_02_49_56_375.jpg, 0, 0, 0, 7.897149E-05
C:\Users\Dell\Desktop\Data\IMG\center_2024_06_21_02_49_56_479.jpg, C:\Users\Dell\Desktop\Data\IMG\left_2024_06_21_02_49_56_479.jpg, C:\Users\Dell\Desktop\Data\IMG\right_2024_06_21_02_49_56_479.jpg, 0, 0, 0, 7.847115E-05
C:\Users\Dell\Desktop\Data\IMG\center_2024_06_21_02_49_56_583.jpg, C:\Users\Dell\Desktop\Data\IMG\left_2024_06_21_02_49_56_583.jpg, C:\Users\Dell\Desktop\Data\IMG\right_2024_06_21_02_49_56_583.jpg, 0, 0, 0, 7.82156E-05
C:\Users\Dell\Desktop\Data\IMG\center_2024_06_21_02_49_56_685.jpg, C:\Users\Dell\Desktop\Data\IMG\left_2024_06_21_02_49_56_685.jpg, C:\Users\Dell\Desktop\Data\IMG\right_2024_06_21_02_49_56_685.jpg, 0, 0, 0, 7.838876E-05
C:\Users\Dell\Desktop\Data\IMG\center_2024_06_21_02_49_56_787.jpg, C:\Users\Dell\Desktop\Data\IMG\left_2024_06_21_02_49_56_787.jpg, C:\Users\Dell\Desktop\Data\IMG\right_2024_06_21_02_49_56_787.jpg, 0, 0, 0, 7.970828E-05
C:\Users\Dell\Desktop\Data\IMG\center_2024_06_21_02_49_56_888.jpg, C:\Users\Dell\Desktop\Data\IMG\left_2024_06_21_02_49_56_888.jpg, C:\Users\Dell\Desktop\Data\IMG\right_2024_06_21_02_49_56_888.jpg, 0, 0, 0, 8.178912E-05
